Lab ID,Flow Cell ID,Alternate ID,Gene Symbol,Gene Description,Gene Accession, Nucleotide Position (Genomic),Fold amplification,Mutation type,Tumor Type,Genome Build
None,None,A545,CDKN2A,cyclin-dependent kinase inhibitor 2A,chr9:21957750-21984490,ENSG00000147889,NA,Deletion,Lung,Hg18
CGOV56T,None,H2170,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Lung,Hg18
CGOV56T,None,H2170,MYC,v-myc myelocytomatosis viral oncogene homolog,ENSG00000136997,chr8:128816861-128822860,37.3,Amplification,Lung,Hg18
CGOV56T,None,H2170,ERBB2,v-erb-b2 erythroblastic leukemia viral oncogene homolog 2,ENSG00000141736,chr17:35097918-35138441,22.4,Amplification,Lung,Hg18
CGOV57T,None,H358,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Lung,Hg18
CGOV57T,None,H358,KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,ENSG00000133703,chr12:25249446-25295121,4.5,Amplification,Lung,Hg18
CGOV58T,None,H460,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Lung,Hg18
CGOV58T,None,H460,MYC,v-myc myelocytomatosis viral oncogene homolog,ENSG00000136997,chr8:128816861-128822860,5.2,Amplification,Lung,Hg18
CGOV59T,None,H838,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Lung,Hg18
CGOV59T,None,H838,KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,ENSG00000133703,chr12:25249446-25295121,4.5,Amplification,Lung,Hg18
CGOV60T,None,HCC 4006,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Lung,Hg18
CGOV60T,None,HCC 4006,EGFR,epidermal growth factor receptor,ENSG00000146648,chr7:55054218-55242525,2.8,Amplification,Lung,Hg18
CGOV61T,None,HCC 827,EGFR,epidermal growth factor receptor,ENSG00000146648,chr7:55054218-55242525,17,Amplification,Lung,Hg18
CGOV61T,None,HCC 827,CDK4,cyclin-dependent kinase 4,ENSG00000135446,chr12:56428269-56432431,11.4,Amplification,Lung,Hg18
